UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,UGDS_MEN,UGDS_WOMEN
42.0,,0.9048,0.0,0.0238,0.0,0.0,0.0,0.0,0.0714,0.0,,,,,,,,,,,,,0.9762,0.0238
85.0,,0.5647,0.0353,0.3294,0.0353,0.0118,0.0,0.0,0.0,0.0235,,,,,,,,,,,,,0.0471,0.9529
7335.0,,0.5857,0.0543,0.1749,0.024,0.0543,0.0034,0.0247,0.0125,0.0663,,,,,,,,,,,,,0.4795,0.5205
3653.0,,0.115,0.2091,0.4851,0.026000000000000002,0.0569,0.003,0.0178,0.0049,0.0821,,,,,,,,,,,,,0.4062,0.5938
620.0,,0.6016,0.0855,0.1661,0.0113,0.0113,0.0081,0.0548,0.021,0.0403,,,,,,,,,,,,,0.5758,0.4242
356.0,,0.2444,0.0618,0.618,0.013999999999999999,0.0253,0.0084,0.013999999999999999,0.0,0.013999999999999999,,,,,,,,,,,,,0.4129,0.5871
2340.0,,0.4987,0.0316,0.2406,0.0222,0.0551,0.0342,0.0786,0.0004,0.0385,,,,,,,,,,,,,0.9632,0.0368
996.0,,0.4669,0.1325,0.1496,0.009000000000000001,0.0151,0.006,0.0653,0.012,0.1436,,,,,,,,,,,,,0.3454,0.6546
126.0,,0.2302,0.2222,0.3889,0.0238,0.0476,0.0079,0.0159,0.0,0.0635,,,,,,,,,,,,,0.0635,0.9365
5359.0,,0.6193,0.0129,0.1329,0.0088,0.0284,0.0015,0.0147,0.0022,0.1793,,,,,,,,,,,,,0.4421,0.5579
7942.0,,0.5297,0.2703,0.0699,0.0225,0.0034,0.0,0.0755,0.0283,0.0003,,,,,,,,,,,,,0.4066,0.5934
711.0,,0.737,0.1322,0.0464,0.0281,0.0042,0.0,0.0281,0.006999999999999999,0.0169,,,,,,,,,,,,,0.2222,0.7778
38.0,,0.2895,0.6579,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.2895,0.7105
896.0,,0.0413,0.9420000000000001,0.0067,0.0011,0.0,0.0,0.0,0.0089,0.0,,,,,,,,,,,,,0.6696,0.3304
49.0,,0.1429,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0612,0.9388
33.0,,0.9091,0.0303,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0909,0.9091
690.0,,0.742,0.0681,0.0623,0.0159,0.0145,0.0,0.0,0.0333,0.0638,,,,,,,,,,,,,0.529,0.47100000000000003
204.0,,0.0441,0.951,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.5392,0.4608
46.0,,0.5870000000000001,0.1739,0.1087,0.087,0.0435,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,1.0
21405.0,,0.7798,0.05,0.0692,0.0251,0.0117,0.0009,0.0316,0.0279,0.0037,,,,,,,,,,,,,0.4829,0.5171
2391.0,,0.0431,0.9281,0.0146,0.0033,0.0013,0.0,0.0004,0.0071,0.0021,,,,,,,,,,,,,0.4559,0.5441
2999.0,,0.8286,0.0514,0.0504,0.0093,0.0037,0.0023,0.0467,0.006999999999999999,0.0007,,,,,,,,,,,,,0.4081,0.5919
