UNITID,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
441487,15000,4750.5,10707,PrivacySuppressed,PrivacySuppressed,11000,13734.5,PrivacySuppressed,PrivacySuppressed,13118,12734,22950,18269,6473,3500,0.850299401
441496,20000,4750,20000,PrivacySuppressed,PrivacySuppressed,19672,20000,PrivacySuppressed,PrivacySuppressed,20000,20000,21369,20000,5573,3500,0.698529412
441502,9500,3349,8245,9500,8195,6962.5,9000,8716,7562.5,8538,8227,13910,9844,3580,2030,0.841827105
441511,PrivacySuppressed,14250,14250,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18837,13450,15834,15343,48000,32500,9500,5500,0.843495935
441548,6861,3800,6861,6861,6861,4400,6861,6861,6861,6861,6861,7600,6861,3972,3210,0.913793103
441575,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,11694,10466,PrivacySuppressed,15790,8000,PrivacySuppressed,PrivacySuppressed
441593,12273.5,PrivacySuppressed,7820,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7811,7820,PrivacySuppressed,13233,3825,PrivacySuppressed,PrivacySuppressed
441609,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
441618,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8819.5,8235,PrivacySuppressed,9500,4750,PrivacySuppressed,PrivacySuppressed
441627,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,
441636,18688,6334,13342,17230,12781,7270,16938,15770,16615,17230,13000,27312,19562,7917,3959,0.945714286
441645,11847.5,4750,9500,12000,9833,9833,9500,PrivacySuppressed,PrivacySuppressed,9833,9500,18487,15314,7744,3959,0.911111111
441663,9500,3693.5,9500,9500,7331.5,8406,9500,9500,9500,9500,9500,12667,9500,5518,3167,0.860176991
